,Unnamed: 0,Unnamed: 0.1,RegionName,State,Date,Price,Housing Inventory,UnemploymentRate,cases,deaths,cases_rate,death_rate,fully_vaccinated,fully_vaccinated_rate,inventory_price_increased,inventory_price_decreased,median_days_on_market,Population,Area,GDP,GDP_pp,Population_Density,Violent_Crimes,Violent_Crimes_pp,Property_Crime,Property_Crimes_pp,Revenue_pp,Expenditures_pp,Hospital,Hospital_pp,School,School_pp,Public_School,Public_School_pp,Private_School,Private_School_pp,latitude,longitude,x_dist,y_dist
16,16,16,Sonoma County,CA,2020-02,659678,735,2.8,6.0,0.0,1.2080504481867164e-05,0.0,0,0.0,16,180,62,485887,"1,576","26,325,465",54.18022092,312.1,"1,821",3.7,"8,583",17.5,31332,30726,12,2.47e-05,231,0.000475419,181,0.000372515,50,0.000102905,38.5779555,-122.9888319,3280.966218825282,650.430202759301
17,17,17,Tulare County,CA,2020-02,230552,784,11.3,4.0,0.0,8.257246249661969e-06,0.0,0,0.0,36,200,57,477054,"4,824","16,847,054",35.31477359,93.5,"1,903",4.2,"11,398",25.3,27942,27295,7,1.47e-05,223,0.000467452,204,0.000427625,19,3.98e-05,36.1341739,-118.8596804,2898.7569165982814,379.2086328094946
18,18,18,Santa Barbara County,CA,2020-02,652899,943,4.4,0.0,0.0,0.0,0.0,0,0.0,8,156,94,446475,"2,738","25,885,092",57.97657652,157.8,"1,294",3.0,"9,088",21.1,31421,30901,9,2.02e-05,173,0.00038748,129,0.00028893,44,9.85e-05,34.4208305,-119.6981901,2976.47365147047,189.12056152654011
19,19,19,Monterey County,CA,2020-02,608364,572,10.1,0.0,0.0,0.0,0.0,0,0.0,12,108,75,437325,"3,322","25,122,789",57.44649631,129.5,"1,833",4.3,"10,577",24.9,35896,35092,4,9.15e-06,177,0.000404733,155,0.000354427,22,5.03e-05,36.3136201,-121.3541631,3129.807814234712,399.1205496421094
20,20,20,Solano County,CA,2020-02,452992,462,3.9,18.0,0.0,4.051727048654489e-05,0.0,0,0.0,52,140,31,451716,828,"20,899,701",46.26734718,513.1,"2,109",5.0,"13,453",31.9,26180,25558,7,1.55e-05,136,0.000301074,107,0.000236874,29,6.42e-05,38.3104969,-121.9017954,3180.470614251112,620.7409876759039
21,21,21,Placer County,CA,2020-02,526336,836,3.1,7.0,0.0,1.7481033079109165e-05,0.0,0,0.0,32,276,43,412300,"1,407","19,894,372",48.2521756,256.9,596,1.6,"6,643",18.4,27036,27085,4,9.7e-06,170,0.000412321,135,0.000327431,35,8.49e-05,39.0915751,-120.8039474,3078.8832068436723,707.4483122111869
22,22,22,San Luis Obispo County,CA,2020-02,639795,783,3.0,2.0,0.0,7.172006225301403e-06,0.0,0,0.0,12,192,66,283159,"3,304","15,449,070",54.55969967,83.1,"1,177",4.3,"5,683",20.7,32267,30230,6,2.12e-05,110,0.000388474,87,0.000307248,23,8.12e-05,35.3102296,-120.4357631,3044.7937600605765,287.788827666259
23,23,23,Santa Cruz County,CA,2020-02,873187,288,6.4,8.0,0.0,2.91971868510469e-05,0.0,0,0.0,4,56,49,267792,446,"12,786,326",47.74722919,600.2,"1,139",4.3,"8,121",30.4,29521,29605,5,1.87e-05,117,0.000436906,86,0.000321145,31,0.000115761,37.0453988,-121.9579578,3185.6650373319662,480.32723954065534
24,24,24,Merced County,CA,2020-02,283926,605,10.2,1.0,0.0,3.479229002852968e-06,0.0,0,0.0,248,132,57,286461,"1,929","9,012,107",31.46015339,135.2,"1,485",5.7,"7,126",27.2,28533,28121,3,1.05e-05,134,0.000467777,116,0.000404942,18,6.28e-05,37.2009788,-120.7120023,3070.3711302375955,497.5935005748587
25,25,25,Marin County,CA,2020-02,1194038,248,2.4,4.0,0.0,1.5337423312883436e-05,0.0,0,0.0,0,60,39,260206,520,"22,815,861",87.68383896,493.4,454,1.8,"4,565",17.8,34416,32310,4,1.54e-05,127,0.000488075,79,0.000303606,48,0.000184469,38.083403,-122.7633036,3260.123960412611,595.5335177232062
26,26,26,Butte County,CA,2020-02,336800,381,5.4,0.0,0.0,0.0,0.0,0,0.0,4,116,67,208309,"1,640","8,434,322",40.48947477,135.4,678,3.1,"6,631",29.9,30734,28860,7,3.36e-05,113,0.000542463,97,0.000465654,16,7.68e-05,39.6253952,-121.5370003,3146.725069546704,766.7142648810096
27,27,27,Yolo County,CA,2020-02,477171,250,4.8,2.0,0.0,8.944063824839454e-06,0.0,0,0.0,8,52,38,216986,"1,012","13,013,233",59.97268487,201.2,757,3.7,"5,507",27.0,25065,24354,2,9.22e-06,80,0.000368687,68,0.000313384,12,5.53e-05,38.7646021,-121.9017954,3180.470614251112,671.1496956432893
28,28,28,El Dorado County,CA,2020-02,472754,748,3.6,1.0,0.0,5.178717542387803e-06,0.0,0,0.0,16,212,69,193221,"1,712","7,238,157",37.46050895,106.3,409,2.3,"3,138",17.3,29023,28768,3,1.55e-05,91,0.000470963,69,0.000357104,22,0.000113859,38.74263759999999,-120.4357631,3044.7937600605765,668.7113992730007
29,29,29,Shasta County,CA,2020-02,283116,545,5.4,2.0,0.0,1.1240691302515104e-05,0.0,0,0.0,12,164,63,182139,"3,786","7,437,919",40.8364985,47.3,"1,275",7.1,"5,705",32.0,28792,27515,7,3.84e-05,120,0.000658837,97,0.00053256,23,0.000126277,40.7908864,-121.8474493,3175.443948458601,896.1288248245052
30,30,30,Imperial County,CA,2020-02,225748,146,18.1,3.0,0.0,1.5653616768154284e-05,0.0,0,0.0,4,48,42,179851,"4,175","8,155,429",45.34547487,42.4,583,3.3,"5,536",31.3,29846,29899,2,1.11e-05,88,0.000489294,77,0.000428132,11,6.12e-05,33.0113694,-115.4733554,2584.418141177178,32.78695505710028
31,31,31,Kings County,CA,2020-02,239459,251,9.8,3.0,0.0,1.917619084145125e-05,0.0,0,0.0,0,84,42,153443,"1,390","5,924,008",38.60722223,109,696,4.6,"3,475",23.0,24498,24704,4,2.61e-05,78,0.000508332,72,0.00046923,6,3.91e-05,36.0988489,-119.8815203,2993.458870549918,375.2889297624246
32,32,32,Madera County,CA,2020-02,291987,635,7.9,2.0,0.0,1.2493050740525583e-05,0.0,0,0.0,16,120,71,159410,"2,138","6,012,170",37.71513707,71.3,888,5.8,"3,380",22.2,23808,23972,2,1.25e-05,96,0.000602221,85,0.000533216,11,6.9e-05,37.251926,-119.6962677,2976.2955317902356,503.2477171858231
33,33,33,Napa County,CA,2020-02,691980,296,3.2,1.0,0.0,7.160656488986911e-06,0.0,0,0.0,4,48,102,136207,754,"9,870,652",72.46802294,186.1,534,3.8,"2,385",17.1,36958,35231,3,2.2e-05,61,0.000447848,42,0.000308354,19,0.000139494,38.5024689,-122.2653887,3214.094795551754,642.0506826283955
34,34,34,Humboldt County,CA,2020-02,328400,270,3.8,1.0,0.0,7.457232770063685e-06,0.0,0,0.0,0,52,78,136310,"3,573","4,986,467",36.58181351,37.8,485,3.6,"4,787",35.5,31924,32019,6,4.4e-05,104,0.000762967,92,0.000674932,12,8.8e-05,40.7450055,-123.8695086,3362.3150272425264,891.0337772534464
35,35,35,Nevada County,CA,2020-02,478372,697,3.6,0.0,0.0,0.0,0.0,0,0.0,8,128,102,103487,958,"3,940,019",38.07259849,103,308,3.1,"1,591",16.1,26949,26407,2,1.93e-05,51,0.000492816,41,0.000396185,10,9.66e-05,39.1346666,-121.1710389,3112.8614730972126,712.2322288706947
36,36,36,Sutter County,CA,2020-02,319004,161,9.0,0.0,0.0,0.0,0.0,0,0.0,0,56,46,99063,603,"3,095,179",31.24455145,157.8,316,3.3,"2,364",24.9,27675,27947,4,4.04e-05,53,0.000535013,47,0.000474446,6,6.06e-05,39.0219764,-121.6739371,3159.393666078655,699.7217036266392
37,37,37,Mendocino County,CA,2020-02,399824,342,4.6,0.0,0.0,0.0,0.0,0,0.0,4,48,148,91305,"3,509","3,261,212",35.71778106,25,512,5.8,"1,546",17.6,40129,39101,3,3.29e-05,82,0.000898089,70,0.000766661,12,0.000131428,39.5500194,-123.438353,3322.4966908145743,758.3455370198571
38,38,38,Yuba County,CA,2020-02,293073,211,7.0,0.0,0.0,0.0,0.0,0,0.0,8,72,45,83421,630,"2,948,046",35.33937498,115.6,296,4.1,"2,135",29.2,36427,34662,2,2.4e-05,47,0.000563407,42,0.00050347,5,5.99e-05,39.2547027,-121.3998995,3134.039872943807,725.5585405286556
39,39,39,Lake County,CA,2020-02,245025,482,5.8,0.0,0.0,0.0,0.0,0,0.0,8,104,90,68766,"1,258","1,768,943",25.7240933,51.1,307,4.8,"1,832",28.5,35392,33872,2,2.91e-05,55,0.000799814,46,0.000668935,9,0.000130879,42.3689363,-87.8271534,0.0,1071.395161605948
40,40,40,Tehama County,CA,2020-02,254055,331,6.1,0.0,0.0,0.0,0.0,0,0.0,4,76,84,65498,"2,951","1,882,273",28.73786986,21.5,321,5.1,"1,589",25.1,31276,31226,1,1.53e-05,54,0.000824453,42,0.000641241,12,0.000183212,40.0982197,-122.174605,3205.7003103162606,819.2129049626614
41,41,42,San Benito County,CA,2020-02,643791,93,5.9,0.0,0.0,0.0,0.0,0,0.0,12,36,44,66677,"1,389","2,075,377",31.1258305,41,196,3.4,736,12.9,23295,22862,2,3e-05,36,0.000539916,29,0.000434933,7,0.000104984,36.5760883,-120.9876321,3095.8864574818285,428.2459289372278
