Unnamed: 0,RegionName,State,Date,Price,Housing Inventory,UnemploymentRate,cases,deaths,cases_rate,death_rate,fully_vaccinated,fully_vaccinated_rate,inventory_price_increased,inventory_price_decreased,median_days_on_market,Population,Area,GDP,GDP_pp,Population_Density,Violent_Crimes,Violent_Crimes_pp,Property_Crime,Property_Crimes_pp,Revenue_pp,Expenditures_pp,Hospital,Hospital_pp,School,School_pp,Public_School,Public_School_pp,Private_School,Private_School_pp
15,Stanislaus County,CA,2020-02,334416,574,6.5,2.0,0.0,3.556801226385063e-06,0.0,0,0.0,20,176,36,552999,"1,495","20,632,799",37.31073474,349.8,"2,826",5.4,"18,559",35.5,28292,27638,12,2.17e-05,231,0.000417722,197,0.000356239,34,6.15e-05
16,Sonoma County,CA,2020-02,659678,735,2.8,6.0,0.0,1.2080504481867164e-05,0.0,0,0.0,16,180,62,485887,"1,576","26,325,465",54.18022092,312.1,"1,821",3.7,"8,583",17.5,31332,30726,12,2.47e-05,231,0.000475419,181,0.000372515,50,0.000102905
17,Tulare County,CA,2020-02,230552,784,11.3,4.0,0.0,8.257246249661969e-06,0.0,0,0.0,36,200,57,477054,"4,824","16,847,054",35.31477359,93.5,"1,903",4.2,"11,398",25.3,27942,27295,7,1.47e-05,223,0.000467452,204,0.000427625,19,3.98e-05
18,Santa Barbara County,CA,2020-02,652899,943,4.4,0.0,0.0,0.0,0.0,0,0.0,8,156,94,446475,"2,738","25,885,092",57.97657652,157.8,"1,294",3.0,"9,088",21.1,31421,30901,9,2.02e-05,173,0.00038748,129,0.00028893,44,9.85e-05
19,Monterey County,CA,2020-02,608364,572,10.1,0.0,0.0,0.0,0.0,0,0.0,12,108,75,437325,"3,322","25,122,789",57.44649631,129.5,"1,833",4.3,"10,577",24.9,35896,35092,4,9.15e-06,177,0.000404733,155,0.000354427,22,5.03e-05
20,Solano County,CA,2020-02,452992,462,3.9,18.0,0.0,4.051727048654489e-05,0.0,0,0.0,52,140,31,451716,828,"20,899,701",46.26734718,513.1,"2,109",5.0,"13,453",31.9,26180,25558,7,1.55e-05,136,0.000301074,107,0.000236874,29,6.42e-05
21,Placer County,CA,2020-02,526336,836,3.1,7.0,0.0,1.7481033079109165e-05,0.0,0,0.0,32,276,43,412300,"1,407","19,894,372",48.2521756,256.9,596,1.6,"6,643",18.4,27036,27085,4,9.7e-06,170,0.000412321,135,0.000327431,35,8.49e-05
22,San Luis Obispo County,CA,2020-02,639795,783,3.0,2.0,0.0,7.172006225301403e-06,0.0,0,0.0,12,192,66,283159,"3,304","15,449,070",54.55969967,83.1,"1,177",4.3,"5,683",20.7,32267,30230,6,2.12e-05,110,0.000388474,87,0.000307248,23,8.12e-05
23,Santa Cruz County,CA,2020-02,873187,288,6.4,8.0,0.0,2.91971868510469e-05,0.0,0,0.0,4,56,49,267792,446,"12,786,326",47.74722919,600.2,"1,139",4.3,"8,121",30.4,29521,29605,5,1.87e-05,117,0.000436906,86,0.000321145,31,0.000115761
24,Merced County,CA,2020-02,283926,605,10.2,1.0,0.0,3.479229002852968e-06,0.0,0,0.0,248,132,57,286461,"1,929","9,012,107",31.46015339,135.2,"1,485",5.7,"7,126",27.2,28533,28121,3,1.05e-05,134,0.000467777,116,0.000404942,18,6.28e-05
25,Marin County,CA,2020-02,1194038,248,2.4,4.0,0.0,1.5337423312883436e-05,0.0,0,0.0,0,60,39,260206,520,"22,815,861",87.68383896,493.4,454,1.8,"4,565",17.8,34416,32310,4,1.54e-05,127,0.000488075,79,0.000303606,48,0.000184469
26,Butte County,CA,2020-02,336800,381,5.4,0.0,0.0,0.0,0.0,0,0.0,4,116,67,208309,"1,640","8,434,322",40.48947477,135.4,678,3.1,"6,631",29.9,30734,28860,7,3.36e-05,113,0.000542463,97,0.000465654,16,7.68e-05
27,Yolo County,CA,2020-02,477171,250,4.8,2.0,0.0,8.944063824839454e-06,0.0,0,0.0,8,52,38,216986,"1,012","13,013,233",59.97268487,201.2,757,3.7,"5,507",27.0,25065,24354,2,9.22e-06,80,0.000368687,68,0.000313384,12,5.53e-05
28,El Dorado County,CA,2020-02,472754,748,3.6,1.0,0.0,5.178717542387803e-06,0.0,0,0.0,16,212,69,193221,"1,712","7,238,157",37.46050895,106.3,409,2.3,"3,138",17.3,29023,28768,3,1.55e-05,91,0.000470963,69,0.000357104,22,0.000113859
29,Shasta County,CA,2020-02,283116,545,5.4,2.0,0.0,1.1240691302515104e-05,0.0,0,0.0,12,164,63,182139,"3,786","7,437,919",40.8364985,47.3,"1,275",7.1,"5,705",32.0,28792,27515,7,3.84e-05,120,0.000658837,97,0.00053256,23,0.000126277
30,Imperial County,CA,2020-02,225748,146,18.1,3.0,0.0,1.5653616768154284e-05,0.0,0,0.0,4,48,42,179851,"4,175","8,155,429",45.34547487,42.4,583,3.3,"5,536",31.3,29846,29899,2,1.11e-05,88,0.000489294,77,0.000428132,11,6.12e-05
31,Kings County,CA,2020-02,239459,251,9.8,3.0,0.0,1.917619084145125e-05,0.0,0,0.0,0,84,42,153443,"1,390","5,924,008",38.60722223,109,696,4.6,"3,475",23.0,24498,24704,4,2.61e-05,78,0.000508332,72,0.00046923,6,3.91e-05
32,Madera County,CA,2020-02,291987,635,7.9,2.0,0.0,1.2493050740525583e-05,0.0,0,0.0,16,120,71,159410,"2,138","6,012,170",37.71513707,71.3,888,5.8,"3,380",22.2,23808,23972,2,1.25e-05,96,0.000602221,85,0.000533216,11,6.9e-05
33,Napa County,CA,2020-02,691980,296,3.2,1.0,0.0,7.160656488986911e-06,0.0,0,0.0,4,48,102,136207,754,"9,870,652",72.46802294,186.1,534,3.8,"2,385",17.1,36958,35231,3,2.2e-05,61,0.000447848,42,0.000308354,19,0.000139494
34,Humboldt County,CA,2020-02,328400,270,3.8,1.0,0.0,7.457232770063685e-06,0.0,0,0.0,0,52,78,136310,"3,573","4,986,467",36.58181351,37.8,485,3.6,"4,787",35.5,31924,32019,6,4.4e-05,104,0.000762967,92,0.000674932,12,8.8e-05
35,Nevada County,CA,2020-02,478372,697,3.6,0.0,0.0,0.0,0.0,0,0.0,8,128,102,103487,958,"3,940,019",38.07259849,103,308,3.1,"1,591",16.1,26949,26407,2,1.93e-05,51,0.000492816,41,0.000396185,10,9.66e-05
36,Sutter County,CA,2020-02,319004,161,9.0,0.0,0.0,0.0,0.0,0,0.0,0,56,46,99063,603,"3,095,179",31.24455145,157.8,316,3.3,"2,364",24.9,27675,27947,4,4.04e-05,53,0.000535013,47,0.000474446,6,6.06e-05
37,Mendocino County,CA,2020-02,399824,342,4.6,0.0,0.0,0.0,0.0,0,0.0,4,48,148,91305,"3,509","3,261,212",35.71778106,25,512,5.8,"1,546",17.6,40129,39101,3,3.29e-05,82,0.000898089,70,0.000766661,12,0.000131428
38,Yuba County,CA,2020-02,293073,211,7.0,0.0,0.0,0.0,0.0,0,0.0,8,72,45,83421,630,"2,948,046",35.33937498,115.6,296,4.1,"2,135",29.2,36427,34662,2,2.4e-05,47,0.000563407,42,0.00050347,5,5.99e-05
39,Lake County,CA,2020-02,245025,482,5.8,0.0,0.0,0.0,0.0,0,0.0,8,104,90,68766,"1,258","1,768,943",25.7240933,51.1,307,4.8,"1,832",28.5,35392,33872,2,2.91e-05,55,0.000799814,46,0.000668935,9,0.000130879
40,Tehama County,CA,2020-02,254055,331,6.1,0.0,0.0,0.0,0.0,0,0.0,4,76,84,65498,"2,951","1,882,273",28.73786986,21.5,321,5.1,"1,589",25.1,31276,31226,1,1.53e-05,54,0.000824453,42,0.000641241,12,0.000183212
42,San Benito County,CA,2020-02,643791,93,5.9,0.0,0.0,0.0,0.0,0,0.0,12,36,44,66677,"1,389","2,075,377",31.1258305,41,196,3.4,736,12.9,23295,22862,2,3e-05,36,0.000539916,29,0.000434933,7,0.000104984
43,Calaveras County,CA,2020-02,332986,501,4.1,0.0,0.0,0.0,0.0,0,0.0,12,116,82,46221,"1,020","1,292,735",27.96856407,44,113,2.5,989,22.0,33400,33016,1,2.16e-05,26,0.000562515,22,0.000475974,4,8.65e-05
44,Siskiyou County,CA,2020-02,217964,209,8.4,0.0,0.0,0.0,0.0,0,0.0,0,24,122,44118,"6,287","1,546,848",35.06160751,7.1,137,3.1,724,16.4,37841,37241,2,4.53e-05,57,0.00129199,50,0.001133324,7,0.000158665
45,Amador County,CA,2020-02,325944,238,4.4,0.0,0.0,0.0,0.0,0,0.0,4,56,105,41259,606,"1,570,431",38.06274995,62.5,81,2.2,629,16.9,30909,30810,1,2.42e-05,19,0.000460506,16,0.000387794,3,7.27e-05
46,Lassen County,CA,2020-02,175294,140,5.9,0.0,0.0,0.0,0.0,0,0.0,0,20,140,33159,"4,558","1,071,059",32.30070267,7.3,140,4.2,521,15.6,32798,31720,1,3.02e-05,31,0.000934889,29,0.000874574,2,6.03e-05
47,Del Norte County,CA,2020-02,273317,105,6.2,0.0,0.0,0.0,0.0,0,0.0,0,20,129,28100,"1,008","688,089",24.48715302,27.9,165,5.9,649,23.1,40143,39264,1,3.56e-05,18,0.000640569,16,0.000569395,2,7.12e-05
48,Glenn County,CA,2020-02,254797,63,7.1,0.0,0.0,0.0,0.0,0,0.0,0,24,132,28805,"1,315","982,720",34.11629925,21.3,125,4.5,527,18.8,43299,43366,1,3.47e-05,35,0.001215067,32,0.001110918,3,0.000104149
49,Colusa County,CA,2020-02,254380,65,20.2,0.0,0.0,0.0,0.0,0,0.0,0,20,87,21917,"1,151","1,199,687",54.73773783,18.6,40,1.9,350,16.3,42181,40480,1,4.56e-05,24,0.00109504,20,0.000912534,4,0.000182507
50,Plumas County,CA,2020-02,278920,251,10.8,0.0,0.0,0.0,0.0,0,0.0,0,20,191,19915,"2,554","1,006,000",50.51468742,7.6,91,4.7,312,16.2,49764,48982,3,0.00015064,19,0.000954055,16,0.000803415,3,0.00015064
51,Inyo County,CA,2020-02,369630,65,3.9,0.0,0.0,0.0,0.0,0,0.0,0,8,105,18970,"10,192","1,224,445",64.54638904,1.8,106,5.7,303,16.4,64893,62300,2,0.00010543,29,0.00152873,28,0.001476015,1,5.27e-05
52,Mariposa County,CA,2020-02,302005,113,5.9,0.0,0.0,0.0,0.0,0,0.0,0,12,106,17147,"1,451","664,863",38.77430454,12.4,71,4.0,276,15.4,58085,57969,1,5.83e-05,17,0.000991427,16,0.000933108,1,5.83e-05
53,Mono County,CA,2020-02,474600,154,3.7,1.0,0.0,7.162810686913545e-05,0.0,0,0.0,0,28,99,13247,"3,044","1,027,563",77.56948743,4.7,36,2.5,184,13.0,67323,67973,1,7.55e-05,0,0.0,0,0.0,0,0.0
54,Trinity County,CA,2020-02,282120,169,7.2,0.0,0.0,0.0,0.0,0,0.0,0,16,141,16060,"3,179","371,527",23.13368618,4.3,34,2.5,174,12.9,64746,64241,1,6.23e-05,25,0.001556663,24,0.001494396,1,6.23e-05
55,Modoc County,CA,2020-02,135915,75,9.6,0.0,0.0,0.0,0.0,0,0.0,0,4,182,8661,"3,944","357,793",41.31081861,2.4,49,5.2,166,17.8,64291,62953,2,0.00023092,17,0.001962822,15,0.001731902,2,0.00023092
56,Sierra County,CA,2020-02,249078,30,6.9,0.0,0.0,0.0,0.0,0,0.0,0,4,215,3283,953,"82,019",24.98294243,3.2,11,3.6,29,9.6,104352,100503,1,0.000304599,0,0.0,0,0.0,0,0.0
57,Alpine County,CA,2020-02,420877,60,5.1,0.0,0.0,0.0,0.0,0,0.0,0,8,232,1235,739,"99,643",80.68259109,1.6,4,3.3,24,20.0,252437,247344,0,0.0,0,0.0,0,0.0,0,0.0
58,Los Angeles County,CA,2020-03,659734,8838,6.7,6918.0,98.0,0.0006744295937132,9.553931798770407e-06,0,0.0,364,1732,38,9829544,"4,060","662,418,536",67.39056624,"2,457.90","42,725",4.3,"217,493",21.8,33864,33230,131,1.33e-05,3232,0.000328805,2283,0.000232259,949,9.65e-05
59,San Diego County,CA,2020-03,617153,4291,3.8,1565.0,16.0,0.0004643340974324,4.747185660650992e-06,0,0.0,272,1072,34,3286069,"4,204","203,932,550",62.05972851,756.7,"10,585",3.3,"59,050",18.6,22016,21083,37,1.13e-05,1058,0.000321965,789,0.000240105,269,8.19e-05
60,Orange County,CA,2020-03,763185,4126,3.3,1288.0,12.0,0.0003989445315328,3.7168745173870734e-06,0,0.0,172,1112,37,3167809,948,"220,075,102",69.4723394,"3,903.60","6,257",2.0,"54,754",17.7,20776,20309,41,1.29e-05,959,0.000302733,642,0.000202664,317,0.000100069
61,Riverside County,CA,2020-03,403051,6312,4.7,1267.0,19.0,0.0005133409909061,7.698089050683812e-06,0,0.0,228,1740,49,2458395,"7,208","75,327,830",30.64106053,314.6,"6,260",2.8,"61,434",27.1,27929,28072,24,9.76e-06,697,0.000283518,538,0.000218842,159,6.47e-05
62,San Bernardino County,CA,2020-03,365886,5039,4.4,723.0,9.0,0.0003260578389626,4.05881127339341e-06,0,0.0,208,1128,49,2194710,"20,062","78,146,465",35.60673848,103.6,"8,281",4.0,"54,778",26.4,29477,27905,32,1.46e-05,740,0.000337174,587,0.000267461,153,6.97e-05
63,Santa Clara County,CA,2020-03,1282227,1044,3.0,1347.0,35.0,0.00068459558291,1.7788303936043427e-05,0,0.0,44,152,22,1885508,"1,291","282,946,368",150.0637324,"1,427.30","4,676",2.5,"43,084",23.4,39774,38937,17,9.02e-06,631,0.000334658,426,0.000225934,205,0.000108724
64,Alameda County,CA,2020-03,913653,1176,3.5,695.0,11.0,0.0004122461423844,6.52475908809967e-06,0,0.0,56,208,29,1648556,738,119117078,72.25540291,2109.8,10356,6.6,57620,37.0,27341,26306,27,1.64e-05,562,0.000340904,401,0.000243243,161,9.77e-05
65,Sacramento County,CA,2020-03,399927,1468,4.3,591.0,10.0,0.0003769192748608,6.377652704921953e-06,0,0.0,112,448,22,1588921,966,"77,961,074",49.06541861,"1,503.00","7,452",5.1,"40,246",27.8,33750,33214,19,1.2e-05,511,0.000321602,398,0.000250484,113,7.11e-05
66,Contra Costa County,CA,2020-03,699059,1331,3.6,470.0,3.0,0.0004051378373742,2.585986196005686e-06,0,0.0,60,236,29,1161413,720,"71,878,033",61.88843504,"1,496.00","3,650",3.4,"32,232",29.8,38948,37226,12,1.03e-05,394,0.000339242,289,0.000248835,105,9.04e-05
67,Fresno County,CA,2020-03,274229,1256,9.8,249.0,0.0,0.0002412260093952,0.0,0,0.0,48,320,41,1013581,"5,963","39,921,581",39.38667063,159.2,"4,547",4.8,"32,535",34.3,26135,25200,15,1.48e-05,421,0.000415359,367,0.000362083,54,5.33e-05
68,Kern County,CA,2020-03,236787,1794,11.0,279.0,1.0,0.0003008894031928,1.0784566422683826e-06,0,0.0,36,436,41,917673,"8,142","46,781,960",50.97889989,105.5,"4,465",5.2,"28,283",33.0,34507,33308,15,1.63e-05,329,0.000358516,276,0.000300761,53,5.78e-05
69,Ventura County,CA,2020-03,625048,1254,4.2,306.0,5.0,0.0003588403125428,5.863403799720198e-06,0,0.0,32,296,42,839784,"1,846","46,470,387",55.33611857,453.5,"1,890",2.3,"16,812",20.1,30789,30258,13,1.55e-05,310,0.000369143,226,0.000269117,84,0.000100026
70,San Francisco County,CA,2020-03,1455886,566,2.8,737.0,7.0,0.0008259739095351,7.845071053929259e-06,0,0.0,20,96,29,815201,47,"155,258,114",190.4537826,"17,680.10","6,822",8.2,"45,936",55.4,32198,34059,18,2.21e-05,242,0.000296859,134,0.000164377,108,0.000132483
71,San Mateo County,CA,2020-03,1444608,502,2.5,709.0,15.0,0.0009113098826351,1.9280180873803506e-05,0,0.0,16,76,26,737888,449,"113,829,269",154.2636132,"1,649.70","1,561",2.1,"14,186",19.2,32749,30849,11,1.49e-05,269,0.000364554,182,0.00024665,87,0.000117904
72,San Joaquin County,CA,2020-03,384649,981,7.5,228.0,9.0,0.0002913570465596,1.1500936048406165e-05,0,0.0,60,232,35,789410,"1,399","26,787,016",33.93295753,503.9,"5,346",7.6,"25,092",35.8,29849,29388,10,1.27e-05,289,0.000366096,251,0.000317959,38,4.81e-05
73,Stanislaus County,CA,2020-03,335863,649,7.6,98.0,0.0,0.0001742832600928,0.0,0,0.0,28,184,29,552999,"1,495","20,632,799",37.31073474,349.8,"2,826",5.4,"18,559",35.5,28292,27638,12,2.17e-05,231,0.000417722,197,0.000356239,34,6.15e-05
74,Sonoma County,CA,2020-03,663563,800,3.3,142.0,1.0,0.0002859052727375,2.0134174136445277e-06,0,0.0,12,200,43,485887,"1,576","26,325,465",54.18022092,312.1,"1,821",3.7,"8,583",17.5,31332,30726,12,2.47e-05,231,0.000475419,181,0.000372515,50,0.000102905
75,Tulare County,CA,2020-03,232126,761,13.2,153.0,2.0,0.0003158396690495,4.128623124830984e-06,0,0.0,24,152,51,477054,"4,824","16,847,054",35.31477359,93.5,"1,903",4.2,"11,398",25.3,27942,27295,7,1.47e-05,223,0.000467452,204,0.000427625,19,3.98e-05
76,Santa Barbara County,CA,2020-03,654558,981,4.9,278.0,0.0,0.0006091508481001,0.0,0,0.0,12,172,59,446475,"2,738","25,885,092",57.97657652,157.8,"1,294",3.0,"9,088",21.1,31421,30901,9,2.02e-05,173,0.00038748,129,0.00028893,44,9.85e-05
77,Monterey County,CA,2020-03,611182,603,11.2,82.0,2.0,0.00018273713486,4.457003289268428e-06,0,0.0,4,108,56,437325,"3,322","25,122,789",57.44649631,129.5,"1,833",4.3,"10,577",24.9,35896,35092,4,9.15e-06,177,0.000404733,155,0.000354427,22,5.03e-05
78,Solano County,CA,2020-03,456618,479,4.6,98.0,1.0,0.0002205940282045,2.250959471474716e-06,0,0.0,44,120,28,451716,828,"20,899,701",46.26734718,513.1,"2,109",5.0,"13,453",31.9,26180,25558,7,1.55e-05,136,0.000301074,107,0.000236874,29,6.42e-05
79,Placer County,CA,2020-03,528648,975,3.6,111.0,2.0,0.0002771992388258,4.9945808797454764e-06,0,0.0,28,300,31,412300,"1,407","19,894,372",48.2521756,256.9,596,1.6,"6,643",18.4,27036,27085,4,9.7e-06,170,0.000412321,135,0.000327431,35,8.49e-05
80,San Luis Obispo County,CA,2020-03,642797,829,3.5,127.0,0.0,0.0004554223953066,0.0,0,0.0,4,188,51,283159,"3,304","15,449,070",54.55969967,83.1,"1,177",4.3,"5,683",20.7,32267,30230,6,2.12e-05,110,0.000388474,87,0.000307248,23,8.12e-05
81,Santa Cruz County,CA,2020-03,881668,346,7.4,72.0,1.0,0.0002627746816594,3.649648356380863e-06,0,0.0,4,64,37,267792,446,"12,786,326",47.74722919,600.2,"1,139",4.3,"8,121",30.4,29521,29605,5,1.87e-05,117,0.000436906,86,0.000321145,31,0.000115761
82,Merced County,CA,2020-03,286679,585,11.6,32.0,0.0,0.0001113353280912,0.0,0,0.0,56,124,48,286461,"1,929","9,012,107",31.46015339,135.2,"1,485",5.7,"7,126",27.2,28533,28121,3,1.05e-05,134,0.000467777,116,0.000404942,18,6.28e-05
83,Marin County,CA,2020-03,1201571,287,2.8,128.0,5.0,0.0004907975460122,1.9171779141104296e-05,0,0.0,4,56,25,260206,520,"22,815,861",87.68383896,493.4,454,1.8,"4,565",17.8,34416,32310,4,1.54e-05,127,0.000488075,79,0.000303606,48,0.000184469
84,Butte County,CA,2020-03,334235,384,6.1,16.0,0.0,7.347234914060312e-05,0.0,0,0.0,8,140,46,208309,"1,640","8,434,322",40.48947477,135.4,678,3.1,"6,631",29.9,30734,28860,7,3.36e-05,113,0.000542463,97,0.000465654,16,7.68e-05
85,Yolo County,CA,2020-03,482656,262,5.4,57.0,1.0,0.0002549058190079,4.472031912419727e-06,0,0.0,12,60,36,216986,"1,012","13,013,233",59.97268487,201.2,757,3.7,"5,507",27.0,25065,24354,2,9.22e-06,80,0.000368687,68,0.000313384,12,5.53e-05
86,El Dorado County,CA,2020-03,473885,822,4.2,31.0,0.0,0.000160540243814,0.0,0,0.0,12,220,45,193221,"1,712","7,238,157",37.46050895,106.3,409,2.3,"3,138",17.3,29023,28768,3,1.55e-05,91,0.000470963,69,0.000357104,22,0.000113859
87,Shasta County,CA,2020-03,282166,562,6.2,20.0,1.0,0.0001124069130251,5.620345651257552e-06,0,0.0,16,160,47,182139,"3,786","7,437,919",40.8364985,47.3,"1,275",7.1,"5,705",32.0,28792,27515,7,3.84e-05,120,0.000658837,97,0.00053256,23,0.000126277
88,Imperial County,CA,2020-03,226691,128,20.1,88.0,1.0,0.0004591727585325,5.217872256051427e-06,0,0.0,4,32,54,179851,"4,175","8,155,429",45.34547487,42.4,583,3.3,"5,536",31.3,29846,29899,2,1.11e-05,88,0.000489294,77,0.000428132,11,6.12e-05
89,Kings County,CA,2020-03,241363,238,11.3,30.0,0.0,0.0001917619084145,0.0,0,0.0,12,52,44,153443,"1,390","5,924,008",38.60722223,109,696,4.6,"3,475",23.0,24498,24704,4,2.61e-05,78,0.000508332,72,0.00046923,6,3.91e-05
90,Madera County,CA,2020-03,292747,665,9.6,47.0,1.0,0.0002935866924023,6.246525370262792e-06,0,0.0,20,112,52,159410,"2,138","6,012,170",37.71513707,71.3,888,5.8,"3,380",22.2,23808,23972,2,1.25e-05,96,0.000602221,85,0.000533216,11,6.9e-05
91,Napa County,CA,2020-03,692462,346,3.7,34.0,1.0,0.0002434623206255,7.160656488986911e-06,0,0.0,4,64,45,136207,754,"9,870,652",72.46802294,186.1,534,3.8,"2,385",17.1,36958,35231,3,2.2e-05,61,0.000447848,42,0.000308354,19,0.000139494
92,Humboldt County,CA,2020-03,327060,277,4.4,49.0,0.0,0.0003654044057331,0.0,0,0.0,0,64,59,136310,"3,573","4,986,467",36.58181351,37.8,485,3.6,"4,787",35.5,31924,32019,6,4.4e-05,104,0.000762967,92,0.000674932,12,8.8e-05
93,Nevada County,CA,2020-03,477300,731,4.2,35.0,0.0,0.0003545740046601,0.0,0,0.0,0,104,71,103487,958,"3,940,019",38.07259849,103,308,3.1,"1,591",16.1,26949,26407,2,1.93e-05,51,0.000492816,41,0.000396185,10,9.66e-05
94,Sutter County,CA,2020-03,321278,155,10.3,21.0,1.0,0.0001985871939629,9.456533045854729e-06,0,0.0,0,44,40,99063,603,"3,095,179",31.24455145,157.8,316,3.3,"2,364",24.9,27675,27947,4,4.04e-05,53,0.000535013,47,0.000474446,6,6.06e-05
95,Mendocino County,CA,2020-03,402426,340,5.3,6.0,0.0,6.784337226789086e-05,0.0,0,0.0,0,40,139,91305,"3,509","3,261,212",35.71778106,25,512,5.8,"1,546",17.6,40129,39101,3,3.29e-05,82,0.000898089,70,0.000766661,12,0.000131428
96,Yuba County,CA,2020-03,294633,238,7.9,9.0,0.0,0.0001135073779795,0.0,0,0.0,24,68,37,83421,630,"2,948,046",35.33937498,115.6,296,4.1,"2,135",29.2,36427,34662,2,2.4e-05,47,0.000563407,42,0.00050347,5,5.99e-05
97,Lake County,CA,2020-03,246632,490,6.6,1.0,0.0,1.5415208644849008e-05,0.0,0,0.0,0,104,83,68766,"1,258","1,768,943",25.7240933,51.1,307,4.8,"1,832",28.5,35392,33872,2,2.91e-05,55,0.000799814,46,0.000668935,9,0.000130879
