,RegionName,State_x,Date,Price,Housing Inventory,UnemploymentRate,cases,deaths,cases_rate,death_rate,fully_vaccinated,fully_vaccinated_rate
1740,Los Angeles County,CA,2020-07,662938.0,10086.0,18.4,82388.0,1262.0,0.008031931969766289,0.00012303124418416587,1.0,9.748909998745315e-08
1741,San Diego County,CA,2020-07,627906.0,4073.0,12.3,14651.0,200.0,0.004346938569637356,5.9339820758137414e-05,0.0,0.0
1742,Orange County,CA,2020-07,762685.0,4601.0,12.3,19655.0,378.0,0.006087930719936911,0.00011708154729769279,0.0,0.0
1743,Riverside County,CA,2020-07,411743.0,4325.0,13.2,20548.0,349.0,0.008325280727023735,0.00014140174098361318,0.0,0.0
1744,San Bernardino County,CA,2020-07,370518.0,3453.0,12.7,20501.0,373.0,0.009245521101759812,0.00016821517833063795,0.0,0.0
1745,Santa Clara County,CA,2020-07,1248465.0,1628.0,9.3,7042.0,45.0,0.0035790067519319364,2.2870676489198694e-05,0.0,0.0
1746,Alameda County,CA,2020-07,900945.0,1491.0,12.0,6582.0,57.0,0.003904178574352002,3.381011527469829e-05,1.0,5.9315991709997e-07
1747,Sacramento County,CA,2020-07,402577.0,1491.0,12.1,8416.0,88.0,0.005367432516462317,5.612334380331319e-05,0.0,0.0
1748,Contra Costa County,CA,2020-07,701009.0,1303.0,11.9,6373.0,57.0,0.005493496675714743,4.913373772410803e-05,0.0,0.0
1749,Fresno County,CA,2020-07,279873.0,859.0,13.0,11933.0,114.0,0.011560441647040814,0.00011044082357853456,0.0,0.0
1750,Kern County,CA,2020-07,242293.0,1432.0,15.2,15431.0,123.0,0.016641664446843413,0.0001326501669990111,0.0,0.0
1751,Ventura County,CA,2020-07,629911.0,1150.0,11.2,4377.0,36.0,0.005132823686275061,4.2216507357985435e-05,0.0,0.0
1752,San Francisco County,CA,2020-07,1426198.0,1263.0,11.0,3288.0,18.0,0.0036849419464742017,2.0173039852960953e-05,0.0,0.0
